,content,label,sentiment
0,"Our FAVORITE Herbal Reference Book, Great 4 Both Beginners  ; Advanced DIY-ers   Making Plant Medicine by Richo Cech   ",positive,0
1,Studying Ayurvedic herbal medicine &gt;&gt;&gt;,neutral,1
2,"Learn the Principles of Herbal Medicine, Tissues of Human Body, Digestion and Metabolism Systems, Ayurvedic Treatment, Human Anatomy, Basic, Diagnosis of Diseases, and A to Z Diseases  ; their Ayurvedic Herbs. Ayurveda, the traditional Indian medicine, is becoming increasingly ",neutral,1
3,"Excuse me for interrupting. I thought the same thing as you, and brought herbal medicine for Ritsu-kun to drink.",neutral,1
4,Very interesting .  Tongxinluo    Here are the ingredients of Tongxinluo - 12 kinds of Chinese herbal medicine   ,positive,0
5,"    For example, the corchorus  in ""Herbal medicine for obesity"" contains , a sympathomimetic drug that strains the heart and blood vessels.      ",neutral,1
6,"Check it out! Apothecary At Home is a monthly subscription box that teaches you how to make and grow your own herbal medicine. New herbs, seeds, and recipes delivered each month! ",neutral,1
7,Chinese Herbal Medicine for Beginners  Over 100 Remedies for Wellness and Balance C5RNOFI     ,neutral,1
8,I’m super proud of myself. I’m learning herbal medicine and this morning I started a turmeric and black pepper tincture to help with inflammation and I bottled my finished echinacea extract. I’m super proud of myself. ,positive,0
9,many happy returns. here is a bag of herbal medicine for you.,positive,0
10,Stilux 60 Traphaco – Herbal insomnia medication that does not harm your health – 100 tablets                         ,positive,0
11,Chinese Herbal Medicine For Beginners  A Comprehensive Beginner's Guide of Natural Chinese Herbal Remedies for Faster Healing VCXL67W     ,neutral,1
12,"10Bags Foot Bath Herb, Foot Soak Herbal Chinese Medicine for Foot, Turmeric Foot Soak Dredge Lymphatic Foot Bath, Foot Reflex KIQUOYD     ",neutral,1
13,What is one problem you see about the African Herbal medicine (both products and services),negative,2
14,"I still rather take herbal medicine and things to get my natural glow, fuck the surgery ",positive,0
15,Potent Medicinal Herbs and Spices  21 Healthiest Everyday Herbs and Spices as Known in Traditional Herbal Medicine 5A5JBXU    ,positive,0
16,"Want to learn more about natural healing? This Sunday at  Library, community medical herbalist Rabiah Mali will give an introduction to  traditions of tending to the Earth through herbal medicine.     Learn more  ; book your place  ",positive,0
17,"Rest In Peace Aaron Carter    Keep it herbal, legalize earth medicine worldwide    Down with poison big pharma pills and toxic street drugs         ",positive,0
18,Herbal medicine for adhd???  Balance me Abeg  ,neutral,1
19,"My home is on the 585 Englehardt St, and there is the Rick Acupuncture and Herbal Medicine Clinic not far from my home. On the 1/579 Dean St, there is a MVE STUDIOS 2640, I always have fun at there.",positive,0
