@tamarabainter Cuz (not joking) they thought the acupuncture needles could give you demons. Same thing with tattoos. Some staff members actually got tattoos removed because they thought maybe they were the source of demonic oppression. 😩,NE
"@besthormonedoc @thebeezknees9 Their spouse is spending $15K per month on RN care at home, Physio, Chinese Medicine and acupuncture, massage, speech therapy. Food is nutrient dense and liquified in Vitamix for gastric tube. Naturopath and MD are trying.",NU
@itinerantfog Strong anecdotal for acupuncture and psilocybin (personal friends) and identifying maladaptive patterns of sleep and sitting positions (me).,IC
"@JeffNotOvercome One moment, I'm stuck on ""acupuncture"". https://t.co/e9aC9pAtmK",NU
@ddp325 Taint acupuncture,NE
"@omnivoyance @girIrising riiight all she needed was some gua sha and, cosmetic acupuncture and face massage 🤦🏽‍♀️",P
"@inihelene Look, seriously. Have you tried to get acupuncture and massage therapist sessions? Both once a week?",P
"@pamelam35 i got an acupuncture session in with his bulgarian coach’s personal doctor and she floored me with her findings, super accurate. that is the secret 😇",P
"@afrosabi Have you tried acupuncture? When I quit, it was so helpful.",P
"@phox_in_socks There was also an acupuncture clinic called ""on point""",NU
"@djclimenhaga @ABDanielleSmith This is that idiotic concept where she says listening to all sides of a debate is a good thing. 

In other news: the earth is flat, humans were created, GMOs are poison, acupuncture cures cancer, and climate change is a hoax.",NE
"@VladVexler If you find a research doctor, then there is more of a chance they can try stuff on you. Otherwise you will have to try herbs / acupuncture / qigong etc, which may or may not work depending on the abilities of the practitioners.",NU
@ChrisKirkland43 Keep goin Chris your doin great I’ve had serious back problems through work had discs removed from my neck and lumber some days I struggle to walk 20 yds but I go to a Chinese lady and with acupuncture herbs etc don’t touch painkillers,P
@BarbB2013 @tina_porkskins @SilentWhale3 Wrong. You only think that bc you’re sexually repressed and brainwashed by the patriarchy. Is massage a service? Is acupuncture?,NU
@breakingcatnews @gocomics I don't appreciate kitty acupuncture either 😸,NE
"@Kimbchr Acupuncture, massage, chiro , rinse repeat.",NU
@welsh_teacup Have you tried acupuncture?,P
"@BlueSlots OK so have you tried complementary health therapies such as:
Acupuncture (great for pain relief and getting your energies back in balance) and
Reiki energy healing?",P
"@itinerantfog I can't speak to your specific pain, but I've gotten a lot of support for various health conditions from acupuncture -- community acupuncture is worth checking out for affordability",P
"@qui_oui Physio and RMT helped me eventually but it was a long long road to recovery. If there is no structural issues from an injury, acupuncture might help too (sadly I am not a candidate for it). Best of luck and feel better soon!",NU
@PBoxyt the first 4 chords stabbed my heart like acupuncture,NE
@kimmyhotness Basically an advert pretending to be an article. Not that I'm down on acupuncture rather down on Fake News - 3 grand for six treatments!,NE
"-We're used to thinking of ""healing"" as specific treatments—surgery pills, herbs, acupuncture. Those things are useful and important. But a cripped definition of healing would include anything that supports someone's disabled body/mind.-",P
"@LifeOfArsalan There is no one-size-fits-all answer to this question.

Some people may find relief from home remedies such as drinking ginger tea or taking turmeric supplements. 

Others may find that traditional medical treatments such as acupuncture are more effective.

Try it out",P
"@Tony_3163 @platypusadmirer @crimsonartist @MagdaSzubanski @TGAgovau @RACGP proper management eg. they have to get their liver and kidneys tested to see if their bodies are coping. There's also other treatments the doctor can suggest and help you to try like medical marijuana, acupuncture- again these aren't suggestions for people with additional medical",NU
@cajones_01 @Yash25571056 Acupuncture can help with GERD.,P
@ArtifexWarden @DawnOfShadow Gridlocks trax-stingers....that's some funky acupuncture,P
@JerryChesler @chadloder I swear by acupuncture.,P
@lafourchette That study is particular to acupuncture helping GERD.,NU
"To think... on a whim, I let a lady stick 80 needles in my back today, just a few doors down, @ a place called Acme Acupuncture. [Was in pain for the past few days; a pinched nerve or something? I can move around now!] Might be something to this mall-based Eastern medicine thing.",P
@jilld54 My friends dog had a tear in ACL back leg.  She went to acupuncture twice a week for month.  Now she runs like a cheetah again.,P
"@N0R3FUnds @CantMowThisBird @PandasAndVidya I do.

I also remember the acupuncture death.",NE
"@lafourchette If I know his specific symptoms, I'd be better able to tell you if acupuncture may help with likely conditions.",NU
@lafourchette I don't know lw if it will help your friend &amp; their specific issues. It should help with any autonomic disfunction. Acupuncture is great at helping correct a variety of neurological issues.,P
"@JulesHolman Due to Work being Repetition - I bent down to pick a piece of paper of the ground, so no one would slip on it. Diagnosis’s of three prolapse disks in my lower back. Physiotherapy, medication, acupuncture &amp; still chronic pain since 2005.",NE
@MyTaintedBrain @NeejaB Are you aware the US military uses acupuncture?  https://t.co/jL2EVZx1ZH,P
"@becauseivy We had a beagle who blew out a disk at 3 &amp; had chronic degenerative disk disease the rest of his life. Ultimately needed 2 spinal column surgeries. We found a terrific holistic vet. Acupuncture, chiropractic &amp; various holistics gave him a happy pain-free life. He lived to 15-1/2.",P
"And no fault of your own either. It was early, I'd just got done acupuncture, and it the week of the Mario Bros Movie trailer dropping. 

See I tried to converse but literally all my brain had to say (scream) was ""MUSHROOM KINGDOM HERE WE COME!""",P
@thepoliticalcat @BruceShark5 Being climbed by KITTEN 🐈‍⬛ CLAWS!!!! Way worse than shots and acupuncture!!!!,NE
@mintiliciouss I ORDERED SM OF THOSE ACUPUNCTURE RINGS ANF THEY HELP SO MUCH I NEVER WOULDVE THOUGHT OF THAT THANK YOU SM,P
