Text,Label
Choosing a Chiropractor in Vacaville | By Absolute Integrative Physical Medicine https://t.co/fDy2Z9cfPC,neutral
"At Limbic Medical, we make recovery possible. Through a unique integrative focus on pain, addiction, and mood disorders, our clinical team offers transformative solutions and cutting edge medicine. If you're ready to make the change for a pain free life, trust Limbic Medical  ... https://t.co/dB2bYaqMnj",positive
Exploring Integrative Medicine and Nutrition for PTSD https://t.co/X2hWzqQGwy via @psychtimes #PTSD,neutral
The Institute for Integrative Palliative Medicine - Home https://t.co/cqdh4NIucp,neutral
"Cancer Secrets: An Integrative Oncologist Reveals How You Can Defeat Cancer Using the Best of Modern Medicine and Alternative BJKHWI7

https://t.co/wn2AuzIwq5 https://t.co/S0LRaIFW4h",positive
"Integrative Oncology (Weil Integrative Medicine Library) PDOZ0Y4

https://t.co/zygoYjKpnT",neutral
"#CAM (Complementary &amp; Alternative Medicine), Integrative Medicine, Self-improvement, Technology, Citizen Scientists #CITB #Fibromyalgia #spoonie #health #fatigue #chronicpain - Visit CITB at https://t.co/zg5KC5uSDZ https://t.co/XbN9qQZ9g4",neutral
Spreading health misinformation via logical fallacies is par for the course in “alternative/integrative/functional medicine.” https://t.co/ImLFpzqgxE,neutral
Advanced Health Center | Integrative &amp; Functional Medicine. @advhealthctr @louis_lziegler3 #TCM #acupuncture #holisticwellbeing https://t.co/84FXJf7L1R,neutral
What Is Ear Seeding Auriculotherapy? https://t.co/WoFMs2cS2O Advanced Health Center | Integrative &amp; Functional Medicine. @advhealthctr @louis_lziegler3 #holistichealth #TCM #acupuncture,neutral
"More than 80% of all health care spending in the United States is tied to the treatment of conditions such as obesity, diabetes, heart disease, chronic pain. Which are rooted in poor lifestyle choices. 

Integrative and Lifestyle medicine can reverse many of these conditions.",positive
"Health is not just about medicine and medical appointments; health is a delicate balance of family, support, nutrition, self-awareness, and the elements that help provide you with balance and homeostasis. How to make an Integrative Health Plan. https://t.co/knQQTjdqFx https://t.co/3WfY1bIWQA",neutral
"Cancer Secrets: An Integrative Oncologist Reveals How You Can Defeat Cancer Using the Best of Modern Medicine and Alternative LPKTY3Y

https://t.co/RklUWZrepn https://t.co/VKXk8Otaxr",positive
"Naturalistic fallacy: if something is ‘natural’ then it must be good. 

Counter examples:
- arsenic
- poison ivy 
- coronavirus

The fallacy is pervasive in “alternative/integrative/functional medicine” and also used to push anti-vaccine propaganda.

H/t @LeahMcGrathRD https://t.co/FLDCInyDaZ",neutral
COVID-19 Safety Measures While Working Out in Vacaville | By Absolute Integrative Physical Medicine https://t.co/MhmIo9Kt8L,neutral
Nice pres by Brian Lawenda MD. #integrativeoncology “ASCO 2022 Integrative Medicine Updates | VuMedi”  https://t.co/lQ5mpZ4wDX via @vumedi,neutral
"Merton provides fellowships to the holders of chairs in mathematics (Regius), mathematical logic, zoology (Linacre), integrative systems biology, medicine (Radcliffe), psychiatry (Handley), English language &amp; literature (Merton), English literature (Merton), and law &amp; finance",neutral
"Building An Integrative Practice 😀👍🎥☀️🔈

Learn More: https://t.co/7GxiUOFjKt

A variety of healthcare providers deliver care through integrative medicine including chiropractors,...

#chiropractic #chiropractor#billingandcoding #cptcodes #reimbursement #malpracticeinsurance https://t.co/jjetoqhRQr",neutral
"Integrative Sexual Health (Weil Integrative Medicine Library) PAAHR6D

https://t.co/3CeQPJl3pE https://t.co/YGBrq7y2fF",neutral
"Ayurveda, integrative part of Complementary and Alternative Medicine https://t.co/xmBYHYiWTF via @YouTube",neutral
"There is no doubt that more and more people are turning to integrative medicine and alternative modalities for their health concerns and disease prevention. Explore what led to the dawn of Whole Health care: https://t.co/aOUPlnxS8z

#WholeHealthTraining #HealthAdvocacy",neutral
