Text,Label
"@Hawk_IT_Podcast @COJACpodcast I'm down with resistance training today, even machine type. Low weight, high reps, with Qi Gong and Tai Chi. Down to tight, 175-180 of high school years and still immensely strong for my new size.",positive
@ML_Philosophy Qi gong. It’s halfway between meditation and yoga. It allows you to release unhelpful energy from the body and cultivates harmony in your environment.,positive
@kuatoring @HIDEO_KOJIMA_EN The Boss is also a master of qi gong as well https://t.co/CXEJhZFhRk,neutral
"@kuatoring @HIDEO_KOJIMA_EN He's a master of qi gong and most likely took some classes from chinaman. He's also able to do ""ninja techniques as well"", it's a wacky world in mgs https://t.co/P7rQ3Xhgpj",neutral
@elonmusk @boringcompany @PPathole Note: #pss qi gong the toy it was a life saver,positive
"@kelly_ques My ""life philosophy"" is an amalgamation of:
- Theistic evolutionary creationism
- Christian universalism
- Qi gong
- Lockean individualism
- Jeffersonian republicanism
- Aristotelian virtue ethics
- Process metaphysics
- Heideggerian existentialism",neutral
@WordsByMatt Qi Gong every morning (almost).,neutral
"@ethansgrumps @scserendipity1 @TylerSbrt @shiv_smith @mrsprostate @MariamAboian @aadel_chaudhuri @AdamSharpMedOnc @VedangMurthy @AlisonBirtle @K_G_Spearpoint Yep movement . Qi Gong is awesome for mobility , flexibility and mental well-being",positive
"@meaning_enjoyer Yes this doesn't work for me either, perhaps never will bc of lived experiences. Most of what I've read sounds like the author doesn't share my fidgets 😅

Otoh Qi gong allows slow movement to entrain meditative states, totes worth your time to explore as an alt. IMHO 🔁☯️🎚️",neutral
"@Sleeve4ever Just in case this resonates, practicing Qi gong is life changing and helps so much to heal emotional wounds and all wounds in fact. It helps me a LOT😊🙏🙏💜💚",positive
"@Lynda_Art_Write Hi Lynda,
At the moment like a really heavy cold, reading a bit, watching Tele, little bit of qi gong...s
Two days a go felt like something lifted/let go..all well in my self..j",neutral
@PurpleSparklz Lmao!  Love u 2!  I felt this way until my sisters huge balls cane corso about took my head off. He warmed up after that luckily. I was doing qi gong in the grass the next day &amp; he came running I said fuck i might die right now. He just wanted to say hi luckily,neutral
@MelGibsonFilms Hey my homie master Hong found a friend or another just a low life Hollywood type @JesseHeiman who would have thought Qi Gong outweighs Hollywood cults.,neutral
"Movement. Exercise. Find what you LIKE so you’ll stay with it💃🏿 Self-torture won’t stick :) But even top athletes have had heart attacks at age 50 💔 So add breathing deep into belly w yoga, qi gong, etc w teachers steeped in integrity. Proper breathwork can also do the trick.",neutral
@ColleenDaniels8 @globalgamechngr Thanks for this. I’ll look up Qi Gong!,neutral
@globalgamechngr @udnore Yoga 🧘🏾‍♀️ and Qi Gong will help you sleep too.,positive
"i'll teach u qi gong and i'll learn what ur ancient wisdom tradition calls ""the five finger discount"" '",neutral
"@AasthaLovanshi I am too old to be lifting weights, to be doing Qi Gong, and to be exploring energies and learning to act and trying to be a celebrity.  But I enjoy pursuing these things even though I will never be famous. I am too ugly and too #disabled for such dreams.  But I still enjoy it!:)",positive
"tbh i pray these rebranded qi gong exercises work for them '

i pray they become more embodied and root out any of the programming that made them more susceptible to western spiritualist marketing '",neutral
"@BlueSlots @Liqu1dJ There have been reports of excellent detox with Tai Chi and/or Qi Gong.  I do the latter and it's like a walking meditation.  It's slow &amp; gentle, but still works the body well.  You can find many videos from beginners to advanced on YouTube, also for general or specific healing.",positive
@hubermanlab Have you looked into qi gong (ba duan jin) as a moving meditative practice?,neutral
"[Audio removed, wrong Audio] - ""Qi/Chi is nothing"". XinXing And Gong is most exquisite. There's a small Note his higher self said. - Precision Analysis. https://t.co/4e9HsdbXAb",neutral
"Whether it's

- Yoga
- Tai Chi
- Qi Gong
- Walking
- Running
- Swimming
- Martial arts
- Weightlifting

or any other modality, find the practice that feels best for you in your body and make a habit of doing that multiple times a week.",neutral
@TheTrapGoddesss Mine lasted two days! Halloween day (smh of course) and the next day after! I personally just took some time off social media and got high and did my yoga! this rising I started the day with some qi gong and I honestly feel so much better!!!,positive
